scenario,description,state(s),building type(s),onsite pct fossil reduction,energy index improvement,stretch pct improvement,start year,applicable fraction,fraction notes,type,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2030.,ME,"all residential, all commercial",,stretch,20,2030,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state,,,,,,,,,,
reference,"New York is updating to IECC 2021/2024 for residential and ASHRAE 90.1-2019/2022 for commercial, with expected effective date of 2025. https://www.energycodes.gov/sites/default/files/2023-11/2023-7-27_DOE_Certification_and_Extension_Letter_Final.pdf#:~:text=%C2%A76833(c)%20in%20light%20of%20the%20fact%20that,is%20anticipated%20to%20become%20effective%20in%202025.",NY,"all residential, all commercial",,adopt current,,2025,1,,state,,,,,,,,,,
aggressive,"New York is updating to IECC 2021/2024 for residential and ASHRAE 90.1-2019/2022 for commercial, with expected effective date of 2025. https://www.energycodes.gov/sites/default/files/2023-11/2023-7-27_DOE_Certification_and_Extension_Letter_Final.pdf#:~:text=%C2%A76833(c)%20in%20light%20of%20the%20fact%20that,is%20anticipated%20to%20become%20effective%20in%202025.",NY,"all residential, all commercial",,adopt current,,2025,1,,state,,,,,,,,,,
aggressive,"Gas ban for new construction, starting in different years for large vs. small buildings.

https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A03006&term=&Summary=Y&Text=Y",NY,"single family home, mobile home",100,adopt current,,2026,1,,state,,,,,,,,,,
aggressive,"Gas ban for new construction, starting in different years for large vs. small buildings.

 https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A03006&term=&Summary=Y&Text=Y",NY,"all commercial, multi family home",100,adopt current,,2029,1,,state,,,,,,,,,,
reference,"In 2009, Rhode Island was the first state to sign a Green Buildings Act (RIGL §37-24) into law. The Act requires that all new construction and renovation projects over 10,000 gross square feet, constructed by a public agency be designed and constructed to a LEED Certified or an equivalent high performance green building standard.

https://ribcc.ri.gov/green-buildings-act",RI,all commercial,,stretch,10,2009,0.049,state-owned commercial buildings in RI >10k sq ft,local,,,,,,,,,,
aggressive,"In 2009, Rhode Island was the first state to sign a Green Buildings Act (RIGL §37-24) into law. The Act requires that all new construction and renovation projects over 10,000 gross square feet, constructed by a public agency be designed and constructed to a LEED Certified or an equivalent high performance green building standard.

https://ribcc.ri.gov/green-buildings-act",RI,all commercial,,stretch,10,2009,0.049,state-owned commercial buildings in RI >10k sq ft,local,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2030.,RI,"all residential, all commercial",100,adopt current,,2030,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2030.,RI,"all residential, all commercial",,stretch,20,2030,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state,,,,,,,,,,
reference,"Burlington, VT - In September 2021 the City Council passed an ordinance which requires the installation of a ""renewable"" primary heating system in all new construction.  This means all new buildings must have either electric heat, wood pellets, renewable gas, or biodiesel. A fossil natural gas, propane, or fuel oil system can still be installed as a back-up heating system, but the “renewable” system must cover 85% of the heating load. A waiver may also be granted if it is determined that this heating system would be ""uneconomical.""

https://www.vermontfuel.com/burnerban/ewExternalFiles/Signed-CC-Ordinance-Chapter-8.-Building-And-Building-Construction-Addition-of-Article-V.-Heating-Systems-Signed.pdf",VT,"all residential, all commercial",85,,,2021,0.111,"Fraction represents Chittiden County, Burlington City all commercial/all residential, site_energy",local,,,,,,,,,,
aggressive,"Burlington, VT - In September 2021 the City Council passed an ordinance which requires the installation of a ""renewable"" primary heating system in all new construction.  This means all new buildings must have either electric heat, wood pellets, renewable gas, or biodiesel. A fossil natural gas, propane, or fuel oil system can still be installed as a back-up heating system, but the “renewable” system must cover 85% of the heating load. A waiver may also be granted if it is determined that this heating system would be ""uneconomical.""

https://www.vermontfuel.com/burnerban/ewExternalFiles/Signed-CC-Ordinance-Chapter-8.-Building-And-Building-Construction-Addition-of-Article-V.-Heating-Systems-Signed.pdf",VT,"all residential, all commercial",85,,,2021,0.111,"Fraction represents Chittiden County, Burlington City all commercial/all residential, site_energy",local,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2035.,VT,"all residential, all commercial",100,adopt current,,2035,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2035.,VT,"all residential, all commercial",,stretch,20,2035,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2030.,WA,"all residential, all commercial",100,adopt current,,2030,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2030.,WA,"all residential, all commercial",,stretch,20,2030,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state,,,,,,,,,,
reference,"DC is banning most natural gas use in new buildings/preventing buildings from using “on-site fuel combustion” for furnaces or water heaters and instruction to the mayor to create the new net-zero building codes no later than December 31, 2026.

https://www.ncelenviro.org/articles/washington-d-c-passes-ban-on-most-natural-gas-use-in-new-buildings/

https://code.dccouncil.gov/us/dc/council/laws/24-177",DC,"all commercial, multi family home",100,,,2027,1,,state,,,,,,,,,,
aggressive,"DC is banning most natural gas use in new buildings/preventing buildings from using “on-site fuel combustion” for furnaces or water heaters and instruction to the mayor to create the new net-zero building codes no later than December 31, 2026.

https://www.ncelenviro.org/articles/washington-d-c-passes-ban-on-most-natural-gas-use-in-new-buildings/

https://code.dccouncil.gov/us/dc/council/laws/24-177",DC,"all commercial, multi family home",100,,,2027,1,,state,,,,,,,,,,
reference,"In June of 2024, the City of Boulder, Colorado passed a code that bans the use of gas-powered appliances in newly built properties as well as the discontinuation of gas services for existing properties. The code officially went into effect on December 1, 2024.

https://thegasconnection.com/what-you-need-to-know-about-the-boulder-gas-line-ban/",CO,"all commercial, all residential",100,,,2024,0.041,"filtered for natural gas/Boulder city multifamily res and Boulder county comm, natural_gas",local,,,,,,,,,,
aggressive,"Building codes in Denver ban natural gas furnaces and water heaters in new commercial and multifamily construction starting in 2024

https://denvergazette.com/news/business/denver-imposes-natural-gas-ban-on-heating-cooling-equipment-in-commercial-buildings-multi-family-housing/article_e8a5352c-b6f1-11ed-b6f5-2bbe6c6ff924.html",CO,all commercial,100,,,2027,0.183,filtered for natural gas/Denver county comm,local,,,,,,,,,,
aggressive,"In June of 2024, the City of Boulder, Colorado passed a code that bans the use of gas-powered appliances in newly built properties as well as the discontinuation of gas services for existing properties. The code officially went into effect on December 1, 2024.

https://thegasconnection.com/what-you-need-to-know-about-the-boulder-gas-line-ban/",CO,"all commercial, all residential",100,,,2024,0.041,"filtered for natural gas/Boulder city multifamily res and Boulder county comm, natural_gas",local,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2030.,CO,"all residential, all commercial",100,adopt current,,2030,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,Assume state-wide code similar to CA enacted by 2030.,CO,"all residential, all commercial",,stretch,20,2030,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,"Clean Energy for Federal Buildings Rule: Mandates a 90% reduction in on-site fossil fuel consumption for new federal buildings and major renovations within five years, aiming for complete elimination by 2030; NOTE: likely to be repealed under Trump Administration, the aggressive scenario assumes it is reintroduced by a future administration with delayed implementation",all,all commercial,90,none,,2034,0.03,"Divide the total goal-subject federal facility consumption in 2023 (308 tbtu, https://ctsedwweb.ee.doe.gov/Annual/Report/Report.aspx) by the total commercail building site energy consumption in 2023 (9465 tbtu, https://www.eia.gov/totalenergy/data/browser/index.php?tbl=T02.03#/?f=A&start=2000&end=2024&charted=15)",federal,,,,,,,,,,
aggressive,"Clean Energy for Federal Buildings Rule: Mandates a 90% reduction in on-site fossil fuel consumption for new federal buildings and major renovations within five years, aiming for complete elimination by 2030; NOTE: likely to be repealed under Trump Administration, the aggressive scenario assumes it is reintroduced by a future administration with delayed implementation",all,all commercial,100,none,,2035,0.03,"Divide the total goal-subject federal facility consumption in 2023 (308 tbtu, https://ctsedwweb.ee.doe.gov/Annual/Report/Report.aspx) by the total commercail building site energy consumption in 2023 (9465 tbtu, https://www.eia.gov/totalenergy/data/browser/index.php?tbl=T02.03#/?f=A&start=2000&end=2024&charted=15)",federal,,,,,,,,,,
aggressive,States currently considering adopting more aggressive codes update to something similar to the CA code model by 2030; all remaining US Climate Alliance states follow by 2035.,"CT, NM, OR, PA","all residential, all commercial",100,adopt current,,2030,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,States currently considering adopting more aggressive codes update to something similar to the CA code model by 2030; all remaining US Climate Alliance states follow by 2035.,"CT, NM, OR, PA","all residential, all commercial",,stretch,20,2030,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,States currently considering adopting more aggressive codes update to something similar to the CA code model by 2030; all remaining US Climate Alliance states follow by 2035.,"AZ, MN, WI, MI, NH, NC, DE, VT, HI","all residential, all commercial",100,adopt current,,2035,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state,,,,,,,,,,
aggressive,States currently considering adopting more aggressive codes update to something similar to the CA code model by 2030; all remaining US Climate Alliance states follow by 2035.,"AZ, MN, WI, MI, NH, NC, DE, VT, HI","all residential, all commercial",,stretch,20,2035,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state,,,,,,,,,,
reference,Colorado Low Energy and Carbon Code becomes new state baseline in 2026 https://energyoffice.colorado.gov/press-releases/colorados-new-model-low-energy-and-carbon-code-will-cut-energy-costs-improve-indoor,CO,all,100,adopt current,,2026,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state,,,,,,,,,,
reference,Colorado Low Energy and Carbon Code becomes new state baseline in 2026 https://energyoffice.colorado.gov/press-releases/colorados-new-model-low-energy-and-carbon-code-will-cut-energy-costs-improve-indoor,CO,all,,stretch,20,2026,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state,,,,,,,,,,
reference,"NYStretch Energy Code. A stretch code adopted by over 100 municipalities in NY that goes 10-12% beyond base IECC, significantly incentivizing electrification.

https://www.nyserda.ny.gov/All-Programs/Clean-Resilient-Building-Codes/NYStretch-Energy-Code-2020",NY,all,,stretch,10,2026,0.47,"Find the communities that adopted the Stretch code to date via https://www.nyserda.ny.gov/All-Programs/Clean-Energy-Communities/Tracking-Progress/CEC-Map, which includes population, divide by total NY State population. otal Adopting Population: When summing the populations of the 40 municipalities listed in the dataset, the total comes to roughly 9.4 million residents. (Note: The Town of Bedford and Town of Bethel were listed with populations of 0 in the data, so standard census figures of ~17,335 and ~4,255 were applied to correct the total). Divide by total population from 2020 Census of 20201249",energy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
